ETF이름,링크,ETF코드,운용사,수수료,시가총액(억 원),수익률,,,,구성종목 TOP 10,,,,,,,,,,,,,,,,,,,
ARIRANG 신흥국MSCI(합성 H),https://finance.naver.com/item/coinfo.nhn?code=195980,195980,한화자산운용,0.500,681,-2.96,9.28,19.69,23.80, 스왑(미래에셋대우) ,, 스왑(키움증권) ,, 스왑(NH투자증권) ,, 설정현금액 ,, 원화현금 ,
ARIRANG 스마트베타Quality채권혼합,https://finance.naver.com/item/coinfo.nhn?code=238670,238670,한화자산운용,0.200,66,0.14,4.94,6.40,11.29, ARIRANG 국채선물3년 ,, 쌍용양회 ,, 팬오션 ,, 한온시스템 ,, 한전KPS ,, 강원랜드 ,, 동서 ,, 한국앤컴퍼니 ,, 한라홀딩스 ,, 포스코인터내셔널 ,
ARIRANG 선진국MSCI(합성 H),https://finance.naver.com/item/coinfo.nhn?code=195970,195970,한화자산운용,0.500,60,0.96,5.64,14.91,11.90, 스왑(키움증권) ,, 스왑(NH투자증권) ,, 설정현금액 ,, 원화현금 ,
ARIRANG 미국S&P500(H),https://finance.naver.com/item/coinfo.nhn?code=269540,269540,한화자산운용,0.300,280,0.00,5.52,11.10,18.09, APPLE Inc ,, GENERAL ELECTRIC CO ,, BANK OF AMERICA CORP ,, MICROSOFT ,, AT&T INC ,, ISHARES 1-3 YEAR TREASURY BO ,, PFIZER INC ,, COMCAST CORP ,, CISCO SYSTEMS INC ,, EXXON MOBIL CORP ,
ARIRANG 미국장기우량회사채,https://finance.naver.com/item/coinfo.nhn?code=332620,332620,한화자산운용,0.315,255,-4.38,-6.70,-12.21,-9.95, JPM 3.964 11/48 ,, BRKHEC 3.65 08/01/48 ,, ARAMCO 3 1/4 11/24/50 ,, INTC 4 ¾ 03/25/50 ,, BRK 4 1/4 01/15/49 ,, PFE 2.7 05/28/50 ,, CMCSA 3.999 11/01/49 ,, TOTAL 3.461 07/12/49 ,, UNH 4.45 12/15/48 ,, ABT 4.9 11/30/46 ,
ARIRANG 미국단기우량회사채,https://finance.naver.com/item/coinfo.nhn?code=332610,332610,한화자산운용,0.315,220,2.01,2.11,-4.81,-5.94, BANK OF AMERICA CORP ,, HSBC HOLDINGS PLC ,, US BANCORP ,, WMT 3.4 06/26/23 ,, DE 2.15 09/08/22 CORP ,, BANK OF MONTREAL ,, BK 3 1/2 04/28/23 ,, BPLN 2.937 04/06/23 ,, ORACLE CORP ,, T 1 1/8 02/28/22 ,
ARIRANG 미국다우존스고배당주(합성 H),https://finance.naver.com/item/coinfo.nhn?code=213630,213630,한화자산운용,0.400,74,6.72,11.15,26.91,7.04, 스왑(미래에셋대우) ,, 설정현금액 ,, 원화현금 ,
ARIRANG 미국나스닥기술주,https://finance.naver.com/item/coinfo.nhn?code=287180,287180,한화자산운용,0.500,184,-0.46,12.29,12.13,32.97, FIRST TRUST NASDQ100 TECH ,, MARVELL TECHNOLOGY GROUP LTD ,, INTEL Corp ,, MICRON TECH ,, COGNIZANT TECH SOLUTIONS-A ,, MAXIM INTEGRATED PRODUCTS ,, APPLIED MATERIALS INC ,, ADVANCED MICRO DEVICES ,, CHECK POINT SOFTWARE TECH ,, APPLE Inc ,
ARIRANG 단기채권액티브,https://finance.naver.com/item/coinfo.nhn?code=278620,278620,한화자산운용,0.130,234,0.12,0.26,0.36,1.02, 국고채권00875-2312(20-8) ,, 국고채권02000-2112(18-9) ,, 롯데건설135-1 ,, 삼성물산111-2 ,, 에스케이하이닉스218 ,, 중소기업은행(신)1808이3A-17 ,, 통화안정증권00710-2208-02 ,, 통화안정증권00740-2206-02 ,, 통화안정증권01400-2112-02 ,, 하나캐피탈322-1 ,
ARIRANG 글로벌MSCI(합성 H),https://finance.naver.com/item/coinfo.nhn?code=189400,189400,한화자산운용,0.400,48,-0.80,5.51,13.27,15.38, 스왑(NH투자증권) ,, 설정현금액 ,, 원화현금 ,
ARIRANG 국채선물3년,https://finance.naver.com/item/coinfo.nhn?code=298340,298340,한화자산운용,0.100,86,0.14,0.22,0.01,1.20, 3년국채    F 202103 ,, 설정현금액 ,, 원화현금 ,
ARIRANG 국채선물10년,https://finance.naver.com/item/coinfo.nhn?code=289670,289670,한화자산운용,0.130,63,-1.44,-2.16,-3.88,-3.53, 10년국채   F 202103 ,, 설정현금액 ,, 원화현금 ,
ARIRANG 고배당주채권혼합,https://finance.naver.com/item/coinfo.nhn?code=251600,251600,한화자산운용,0.200,116,0.62,1.79,8.05,7.12, 쌍용양회 ,, 메리츠증권 ,, BNK금융지주 ,, ARIRANG 고배당주 ,, JB금융지주 ,, 기업은행 ,, 코리안리 ,, 메리츠화재 ,, NH투자증권 ,, DGB금융지주 ,
ARIRANG 고배당주,https://finance.naver.com/item/coinfo.nhn?code=161510,161510,한화자산운용,0.230,1639,1.77,4.25,20.90,13.06, 하나금융지주 ,5.63, 신한지주 ,5.02, 쌍용양회 ,4.96, 메리츠화재 ,4.76, KB금융 ,4.57, 현대중공업지주 ,4.54, SK텔레콤 ,4.31, KT&G ,4.30, BNK금융지주 ,4.00, KT ,3.99
ARIRANG 고배당저변동50,https://finance.naver.com/item/coinfo.nhn?code=251590,251590,한화자산운용,0.230,183,-0.83,8.12,19.82,20.52, 삼성전자 ,3.06, KT ,2.98, SK텔레콤 ,2.91, 신한지주 ,2.80, GS ,2.73, 세방전지 ,2.69, KPX케미칼 ,2.66, 한국토지신탁 ,2.62, 코리안리 ,2.60, POSCO ,2.59
ARIRANG 200선물인버스2X,https://finance.naver.com/item/coinfo.nhn?code=253160,253160,한화자산운용,0.060,169,4.96,-32.42,-47.80,-67.38, TIGER 200선물인버스2X ,, KODEX 200선물인버스2X ,, 코스피200 F 202103 ,, 설정현금액 ,, 원화현금 ,
ARIRANG 200선물레버리지,https://finance.naver.com/item/coinfo.nhn?code=253150,253150,한화자산운용,0.060,163,-7.50,37.39,71.27,99.42, HANARO 200선물레버리지 ,, ARIRANG 200 ,, TIGER 레버리지 ,, 코스피200 F 202103 ,, 설정현금액 ,, 원화현금 ,
ARIRANG 200동일가중,https://finance.naver.com/item/coinfo.nhn?code=295820,295820,한화자산운용,0.230,43,-2.58,15.67,27.42,47.79, 세방전지 ,0.94, OCI ,0.84, 동원시스템즈 ,0.75, F&F ,0.75, DB하이텍 ,0.72, 현대위아 ,0.70, 한화시스템 ,0.69, 포스코인터내셔널 ,0.69, 일진머티리얼즈 ,0.68, LG전자 ,0.68
ARIRANG 200,https://finance.naver.com/item/coinfo.nhn?code=152100,152100,한화자산운용,0.040,8002,-3.04,18.93,33.50,50.21, 삼성전자 ,31.99, SK하이닉스 ,6.52, NAVER ,3.89, LG화학 ,3.13, 삼성SDI ,2.86, 현대차 ,2.75, 셀트리온 ,2.61, 카카오 ,2.51, 기아차 ,1.65, 현대모비스 ,1.62
흥국 S&P코리아로우볼,https://finance.naver.com/item/coinfo.nhn?code=215620,215620,흥국자산운용,0.400,74,0.42,12.30,18.08,25.25, 동서 ,2.88, 유니드 ,2.85, 한국토지신탁 ,2.65, SK하이닉스 ,2.58, 삼성전자 ,2.55, LG전자 ,2.36, 율촌화학 ,2.30, SK텔레콤 ,2.30, 국도화학 ,2.23, 현대백화점 ,2.18
파워 코스피100,https://finance.naver.com/item/coinfo.nhn?code=140950,140950,교보악사자산운용,0.155,143,-3.33,19.14,33.05,49.11, 삼성전자 ,31.18, SK하이닉스 ,7.14, NAVER ,4.26, LG화학 ,3.41, 삼성SDI ,3.13, 현대차 ,3.01, 셀트리온 ,2.83, 카카오 ,2.76, 기아차 ,1.79, 현대모비스 ,1.76
파워 중기국고채,https://finance.naver.com/item/coinfo.nhn?code=176710,176710,교보악사자산운용,0.145,61,-0.04,0.08,-0.09,1.10, 국고채권01000-2306(20-3) ,, 국고채권01125-2509(20-6) ,, 국고채권01250-2212(19-7) ,, 원화현금 ,
파워 고배당저변동성,https://finance.naver.com/item/coinfo.nhn?code=192720,192720,교보악사자산운용,0.230,68,0.64,9.86,22.10,23.54, 포스코인터내셔널 ,4.30, KT ,3.01, GS ,2.90, 효성 ,2.80, 롯데쇼핑 ,2.75, SK텔레콤 ,2.75, 현대중공업지주 ,2.72, POSCO ,2.66, 쌍용양회 ,2.58, GKL ,2.56
파워 200,https://finance.naver.com/item/coinfo.nhn?code=152870,152870,교보악사자산운용,0.145,191,-3.00,18.94,33.42,50.07, 삼성전자 ,31.40, SK하이닉스 ,6.40, NAVER ,3.83, LG화학 ,3.09, 삼성SDI ,2.82, 현대차 ,2.70, 셀트리온 ,2.55, 카카오 ,2.48, 기아차 ,1.61, 현대모비스 ,1.58
마이티 코스피100,https://finance.naver.com/item/coinfo.nhn?code=159800,159800,디비자산운용,0.390,76,-5.78,19.00,31.99,46.52, 삼성전자 ,31.49, SK하이닉스 ,7.20, NAVER ,4.31, LG화학 ,3.44, 삼성SDI ,3.11, 현대차 ,3.02, 셀트리온 ,2.84, 카카오 ,2.75, 기아차 ,1.81, 현대모비스 ,1.78
마이티 200커버드콜ATM레버리지,https://finance.naver.com/item/coinfo.nhn?code=292340,292340,디비자산운용,0.510,59,0.05,6.66,24.79,18.01, TIGER 200선물레버리지 ,, TIGER 200 ,, 삼성전자 ,, SK하이닉스 ,, 우리금융지주 ,, 삼성중공업 ,, 신한지주 ,, 미래에셋대우 ,, KB금융 ,, 한화생명 ,
마이다스 200커버드콜5%OTM,https://finance.naver.com/item/coinfo.nhn?code=137930,137930,마이다스에셋,0.450,88,-1.34,4.39,15.25,16.80, 삼성전자 ,29.58, SK하이닉스 ,6.14, NAVER ,3.61, LG화학 ,2.95, 삼성SDI ,2.62, 현대차 ,2.50, 셀트리온 ,2.35, 카카오 ,2.33, 기아차 ,1.49, 현대모비스 ,1.49
